family,original_variables,observed_structure,representative_variables,reason_for_keeping,reason_for_dropping_others,candidate_membership
Target,TE_8313B.AV_0#,Primary forecasting target selected from the furnace thermal state.,TE_8313B.AV_0#,"Temperature in the upper furnace chamber is thermally meaningful and connected to flow, fan, pressure, and load behavior.",Not applicable; this variable is the prediction target and is included in all modeling subsets.,"A, B, C as target"
Upper furnace pressure,PT_8313A.AV_0#; PT_8313B.AV_0#; PT_8313C.AV_0#; PT_8313D.AV_0#; PT_8313E.AV_0#; PT_8313F.AV_0#,Strong redundant pressure-domain block.,PT_8313C.AV_0#,Preserves upper-furnace pressure information while avoiding six highly similar channels.,Other PT_8313 sensors observe the same pressure field and add redundancy for forecasting.,"A, B, C"
Steam/container pressure,PTCA_8322A.AV_0#; PTCA_8324.AV_0#,Coherent paired pressure domain.,PTCA_8322A.AV_0#,Keeps steam-side pressure context as a separate domain from furnace pressure.,PTCA_8324 is the paired counterpart and is redundant for the reduced forecasting set.,"A, B, C"
Economizer temperature,TE_8319A.AV_0#; TE_8319B.AV_0#,Left/right economizer outlet temperature pair.,TE_8319A.AV_0#,Provides upstream flue-gas/economizer thermal context.,TE_8319B is retained conceptually for asymmetry checks but removed from the reduced forecasting input set.,"A, B, C"
Air-preheater and outlet thermal state,TE_8303.AV_0#; TE_8304.AV_0#; TE_8332A.AV_0#,Temperature family is not one fully redundant block; outlet steam temperature is more isolated.,TE_8303.AV_0#; TE_8332A.AV_0#,TE_8303 preserves air-preheater thermal context; TE_8332A is added in Candidate B to retain downstream steam-temperature behavior.,TE_8304 is omitted from the reduced sets to avoid over-representing similar air-preheater behavior.,TE_8303 in A/B/C; TE_8332A in B/C
Flow and load,FT_8301.AV_0#; FT_8302.AV_0#; FT_8306A.AV_0#; FT_8306B.AV_0#; ZZQBCHLL.AV_0#,"Flow variables contain more than one mechanism: fan flow, return-air flow, and compensated steam flow.",ZZQBCHLL.AV_0#; FT_8301.AV_0#; FT_8306A.AV_0#,ZZQBCHLL represents steam-production load; FT_8301 and FT_8306A are added in Candidate B to preserve distinct flow mechanisms.,FT_8302 and FT_8306B are omitted to keep the set compact and avoid paired-flow redundancy.,ZZQBCHLL in A/B/C; FT_8301 and FT_8306A in B/C
Oxygen,AIR_8301A.AV_0#; AIR_8301B.AV_0#,Strong left/right oxygen pair.,AIR_8301A.AV_0#,Keeps excess-air/combustion information with one representative channel.,AIR_8301B is redundant for forecasting inputs but remains meaningful for asymmetry diagnosis.,"A, B, C"
Fan condition,YFJ3_AI.AV_0#; YFJ3_ZD1.AV_0#; YFJ3_ZD2.AV_0#,Fan current and vibration do not collapse into one fully redundant group.,YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#,YFJ3_AI captures fan duty/current; YFJ3_ZD2 is added in Candidate B to preserve mechanical-condition context.,YFJ3_ZD1 is omitted to avoid carrying both vibration channels in the reduced set.,YFJ3_AI in A/B/C; YFJ3_ZD2 in B/C
Differential pressure,SXLTCYZ.AV_0#; SXLTCYY.AV_0#; ZCLCCY.AV_0#; YCLCCY.AV_0#,Layer differential pressures include paired structure and possible gas-path resistance information.,SXLTCYZ.AV_0#; ZCLCCY.AV_0#,SXLTCYZ gives upper/lower hearth differential-pressure context; ZCLCCY is added in Candidate B to preserve a second gas-path resistance view.,SXLTCYY and YCLCCY are omitted as paired counterparts in the reduced forecasting set.,SXLTCYZ in A/B/C; ZCLCCY in B/C
Desuperheating control loop,TV_8329ZC.AV_0#; YJJWSLL.AV_0#,Control-loop pair rather than purely passive process measurements.,TV_8329ZC.AV_0#; YJJWSLL.AV_0#,Candidate C tests whether control-signal information improves forecasting.,Excluded from Candidates A and B to keep the base physical set independent from explicit controller action.,C only
