sensor_a,sensor_b,physical_law,expected_sign,expected_lag,confounders,dimension_note
FT_8301.AV_0#,AIR_8301A.AV_0#,Primary/air-side flow influences flue-gas O2 through excess-air balance.,+,short,"fuel/feed changes, excess-air control",Do not collapse with O2; weak raw correlation may be controller-masked.
FT_8302.AV_0#,AIR_8301B.AV_0#,Secondary air affects combustion completion and downstream O2.,+,short,"load regime, fuel variation, mixing asymmetry",Keep one representative air-flow variable and one O2 variable.
PT_8313C.AV_0#,PT_8313B.AV_0#,Upper furnace pressure sensors share the same pressure field.,+,near-zero,"local tap effects, sensor bias",This block is redundant; one furnace-pressure representative is enough.
PTCA_8322A.AV_0#,PTCA_8324.AV_0#,Steam-side/container pressure pair measures the same pressure domain.,+,near-zero,"sensor scaling, local dynamics",Keep one steam-side pressure representative.
TE_8319A.AV_0#,TE_8319B.AV_0#,Left/right economizer outlet temperatures should move together under balanced heat exchange.,+,near-zero,"left/right fouling, gas maldistribution","Use one as baseline, monitor asymmetry as a maintenance residual."
TE_8303.AV_0#,TE_8304.AV_0#,Primary and secondary air-preheater outlet temperatures share gas-path thermal forcing.,+,short,"different air circuits, damper positions",Related but not identical; keep at least one representative plus target-side temperature.
TV_8329ZC.AV_0#,YJJWSLL.AV_0#,Desuperheater valve action and spray-water flow belong to the same control loop.,+,near-zero,"controller tuning, saturation, load ramps",This pair is partly redundant; include carefully to avoid controller leakage.
YJJWSLL.AV_0#,TE_8332A.AV_0#,More desuperheating water should reduce outlet steam temperature.,-,short-to-medium,"steam load, controller compensation",Weak raw correlation does not invalidate the physics.
ZZQBCHLL.AV_0#,TE_8313B.AV_0#,Higher steam-production load couples to furnace thermal state.,+,medium,"air/fuel control, soot/fouling, load regime",Useful cross-family signal for forecasting target temperature.
YFJ3_AI.AV_0#,SXLTCYZ.AV_0#,Higher gas-path resistance should increase ID-fan duty/current.,+,short,"fan control loop, mechanical efficiency, operating mode",Do not rely on raw correlation alone; lag and regime matter.
YFJ3_AI.AV_0#,YFJ3_ZD2.AV_0#,Motor load and bearing vibration are linked through fan operating state and condition.,+,short,"mechanical fault mode, imbalance, sensor placement",Keep current plus one vibration channel for maintenance-aware modeling.
ZCLCCY.AV_0#,YCLCCY.AV_0#,Left/right layer differential pressures should move together under balanced gas flow.,+,near-zero,"blockage, gas leakage, duct imbalance",One representative is enough for forecasting; asymmetry is useful for maintenance monitoring.
